Episode #0 Angle PID Val: Kp 29.544282878767778, Ki 24.262401949823612, Kd 8.794453978080183. X PID Val: Kp 10.711152801412, Ki 4.540861304257912, Kd 6.830010641947561
Episode #22 Angle PID Val: Kp 31.45614709868731, Ki 4.898238718980862, Kd 12.952693379463945. X PID Val: Kp 8.79517195250517, Ki 0.8730352125699745, Kd 12.929646437316654
Episode #23 Angle PID Val: Kp 29.93368352468843, Ki 1.9905212806051753, Kd 12.952693379463945. X PID Val: Kp 8.79517195250517, Ki 0.8730352125699745, Kd 12.929646437316654
Episode #24 Angle PID Val: Kp 29.93368352468843, Ki 1.9905212806051753, Kd 12.952693379463945. X PID Val: Kp 8.79517195250517, Ki 0.8730352125699745, Kd 12.929646437316654
Episode #25 Angle PID Val: Kp 29.93368352468843, Ki 1.9905212806051753, Kd 12.952693379463945. X PID Val: Kp 8.79517195250517, Ki 0.8730352125699745, Kd 12.929646437316654
Episode #26 Angle PID Val: Kp 30.303179830514267, Ki 2.6446185897779566, Kd 12.952693379463945. X PID Val: Kp 9.312329551918776, Ki 1.2090085105714827, Kd 12.929646437316654
Episode #27 Angle PID Val: Kp 30.303179830514267, Ki 2.6446185897779566, Kd 12.952693379463945. X PID Val: Kp 9.312329551918776, Ki 1.2090085105714827, Kd 12.929646437316654
Episode #28 Angle PID Val: Kp 30.303179830514267, Ki 2.6446185897779566, Kd 12.952693379463945. X PID Val: Kp 9.312329551918776, Ki 1.2090085105714827, Kd 12.929646437316654
Episode #29 Angle PID Val: Kp 30.303179830514267, Ki 2.6446185897779566, Kd 12.952693379463945. X PID Val: Kp 9.312329551918776, Ki 1.2090085105714827, Kd 12.929646437316654
Episode #30 Angle PID Val: Kp 30.303179830514267, Ki 2.6446185897779566, Kd 12.952693379463945. X PID Val: Kp 9.312329551918776, Ki 1.2090085105714827, Kd 12.929646437316654
Episode #31 Angle PID Val: Kp 32.144958344444774, Ki 5.335185526194615, Kd 12.952693379463945. X PID Val: Kp 9.122866688803313, Ki 0.9130016608892679, Kd 12.929646437316654
Episode #32 Angle PID Val: Kp 32.144958344444774, Ki 5.335185526194615, Kd 12.952693379463945. X PID Val: Kp 9.122866688803313, Ki 0.9130016608892679, Kd 12.929646437316654
Episode #33 Angle PID Val: Kp 32.144958344444774, Ki 5.335185526194615, Kd 12.952693379463945. X PID Val: Kp 9.122866688803313, Ki 0.9130016608892679, Kd 12.929646437316654
Episode #34 Angle PID Val: Kp 32.144958344444774, Ki 5.335185526194615, Kd 12.952693379463945. X PID Val: Kp 9.122866688803313, Ki 0.9130016608892679, Kd 12.929646437316654
Episode #35 Angle PID Val: Kp 32.144958344444774, Ki 5.335185526194615, Kd 12.952693379463945. X PID Val: Kp 9.122866688803313, Ki 0.9130016608892679, Kd 12.929646437316654
Episode #36 Angle PID Val: Kp 32.144958344444774, Ki 5.335185526194615, Kd 12.952693379463945. X PID Val: Kp 9.122866688803313, Ki 0.9130016608892679, Kd 12.929646437316654
Episode #37 Angle PID Val: Kp 32.144958344444774, Ki 5.335185526194615, Kd 12.952693379463945. X PID Val: Kp 9.122866688803313, Ki 0.9130016608892679, Kd 12.929646437316654
Episode #38 Angle PID Val: Kp 32.144958344444774, Ki 5.335185526194615, Kd 12.952693379463945. X PID Val: Kp 9.122866688803313, Ki 0.9130016608892679, Kd 12.929646437316654
Episode #39 Angle PID Val: Kp 32.144958344444774, Ki 5.335185526194615, Kd 12.952693379463945. X PID Val: Kp 9.122866688803313, Ki 0.9130016608892679, Kd 12.929646437316654
Episode #40 Angle PID Val: Kp 32.144958344444774, Ki 5.335185526194615, Kd 12.952693379463945. X PID Val: Kp 9.122866688803313, Ki 0.9130016608892679, Kd 12.929646437316654
Episode #41 Angle PID Val: Kp 32.144958344444774, Ki 5.335185526194615, Kd 12.952693379463945. X PID Val: Kp 9.122866688803313, Ki 0.9130016608892679, Kd 12.929646437316654
Episode #42 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #43 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #44 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #45 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #46 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #47 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #48 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #49 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #50 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #51 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #52 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #53 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #54 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #55 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #56 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #57 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #58 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #59 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #60 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #61 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #62 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #63 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #64 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #65 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #66 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.929646437316654
Episode #67 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #68 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #69 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #70 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #71 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #72 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #73 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #74 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #75 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #76 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #77 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #78 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #79 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #80 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #81 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #82 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #83 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #84 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #85 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #86 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #87 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #88 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #89 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #90 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #91 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #92 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #93 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #94 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #95 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #96 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #97 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #98 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #99 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #100 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #101 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #102 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #103 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #104 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #105 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #106 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #107 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #108 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #109 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #110 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #111 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #112 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #113 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #114 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #115 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #116 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #117 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #118 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #119 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #120 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #121 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #122 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #123 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #124 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #125 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #126 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #127 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #128 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #129 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #130 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #131 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #132 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #133 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #134 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #135 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #136 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #137 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #138 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #139 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #140 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #141 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #142 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #143 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #144 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #145 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #146 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #147 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #148 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
